,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,date,year
2359,5.2219566e-06,0.00010702615,0.8531976,1.3033404e-05,0.009960989,0.000251451,0.13637434,7.8830235e-05,6.1890564e-06,5.324654e-06,2013-07-09,2013
2360,3.992912e-05,0.00081802974,0.6568121,9.96585e-05,0.2578076,0.051051915,0.032679997,0.00060274825,4.7323945e-05,4.0714385e-05,2013-07-11,2013
2361,8.868123e-06,0.010945242,0.8338284,2.2133816e-05,0.047564156,0.00042308256,0.10705467,0.00013386956,1.0510488e-05,9.042527e-06,2013-07-16,2013
2362,1.4741571e-05,0.00030238522,0.11779948,0.0047938684,0.5845695,0.02165904,0.07292773,0.1979007,1.7471692e-05,1.5031486e-05,2013-08-09,2013
2363,1.2951534e-05,0.0042911014,0.49224675,3.232554e-05,0.31257692,0.0006044453,0.175214,0.014992948,1.5350142e-05,1.3206246e-05,2013-08-16,2013
2364,2.3860594e-05,0.00048896245,0.0069927634,5.9553302e-05,0.14185478,0.8364213,0.013745865,0.00036026456,2.8279546e-05,2.432985e-05,2013-08-20,2013
2365,7.811362e-06,0.0056431782,0.66933984,1.9496261e-05,0.09251756,0.055087004,0.075600766,0.10176713,9.258016e-06,7.9649835e-06,2013-08-28,2013
2366,4.420138e-06,0.0048784767,0.78631705,1.1032157e-05,0.0020002672,0.033181105,0.1735312,6.673773e-05,5.2387422e-06,4.507067e-06,2013-09-03,2013
2367,1.2878923e-05,0.00026447757,0.04689787,0.0020897181,0.16724706,0.27493593,0.12150408,0.38701957,1.5264084e-05,1.3132207e-05,2013-09-04,2013
2368,2.0152942e-05,0.00041464125,0.0066189514,0.0031343105,0.6820191,0.08347269,0.0793146,0.14496113,2.3885243e-05,2.054928e-05,2013-09-05,2013
2369,1.4998461e-05,0.0003075307,0.017318524,3.7434438e-05,0.66230386,0.04075423,0.08881391,0.19041644,1.7776158e-05,1.5293428e-05,2013-09-06,2013
2370,1.6871429e-05,0.06312804,0.10504593,0.0025904684,0.35366267,0.19324711,0.035059705,0.24721202,1.9995996e-05,1.720323e-05,2013-09-08,2013
2371,1.9037947e-05,0.0053998325,0.76092577,4.751653e-05,0.1939967,0.0070501203,0.004157229,0.028361803,2.256375e-05,1.9412355e-05,2013-09-10,2013
2372,6.060129e-06,0.0062957974,0.73374504,1.5125387e-05,0.03453761,0.00028355405,0.22501196,9.150426e-05,7.182458e-06,6.1793107e-06,2013-09-12,2013
2373,1.2636801e-05,0.02487853,0.012788999,3.1540007e-05,0.6171475,0.29067335,0.022303743,0.032135833,1.4977121e-05,1.2885323e-05,2013-09-18,2013
2374,2.0938272e-05,0.47676626,0.23232535,5.2259526e-05,0.030872043,0.18650454,0.049860943,0.023551527,2.4816016e-05,2.1350055e-05,2013-10-08,2013
2375,4.1146277e-06,8.433869e-05,0.83781534,1.0269638e-05,0.00944143,0.0077160974,0.14485726,6.2113344e-05,4.8766515e-06,4.1955477e-06,2013-10-16,2013
